iter	Passed	Remaining
0	252	50226
1	373	36985
2	507	33323
3	790	38729
4	1191	46460
5	1356	43872
6	1492	41153
7	1625	39005
8	1811	38442
9	2016	38315
10	2159	37105
11	2310	36194
12	2439	35088
13	2618	34788
14	2778	34266
15	2918	33568
16	3044	32772
17	3168	32038
18	3387	32273
19	3591	32323
20	3738	31868
21	3840	31076
22	3942	30339
23	4050	29703
24	4153	29071
25	4249	28440
26	4345	27843
27	4449	27331
28	4584	27030
29	4694	26603
30	4795	26141
31	4892	25684
32	4990	25254
33	5095	24879
34	5193	24484
35	5296	24127
36	5397	23777
37	5537	23605
38	5740	23698
39	5866	23464
40	6052	23471
41	6159	23172
42	6259	22855
43	6362	22556
44	6469	22285
45	6586	22051
46	6689	21776
47	6758	21401
48	6875	21188
49	6970	20911
50	7066	20646
51	7167	20398
52	7270	20165
53	7366	19916
54	7481	19725
55	7604	19553
56	7704	19328
57	7802	19103
58	8041	19218
59	8205	19145
60	8312	18941
61	8420	18743
62	8540	18571
63	8651	18384
64	8758	18190
65	8857	17982
66	8949	17765
67	9056	17581
68	9155	17381
69	9248	17176
70	9345	16980
71	9472	16839
72	9593	16689
73	9692	16502
74	9792	16321
75	9904	16159
76	10006	15983
77	10145	15869
78	10341	15839
79	10526	15789
80	10642	15634
81	10785	15520
82	10902	15368
83	11021	15220
84	11124	15050
85	11226	14882
86	11332	14718
87	11463	14589
88	11601	14469
89	11703	14304
90	11800	14134
91	11909	13980
92	12009	13817
93	12128	13676
94	12231	13518
95	12330	13357
96	12449	13219
97	12622	13137
98	12753	13011
99	12862	12862
100	12963	12707
101	13060	12548
102	13163	12396
103	13255	12236
104	13371	12097
105	13499	11971
106	13614	11833
107	13710	11679
108	13822	11540
109	13930	11397
110	14022	11243
111	14146	11115
112	14235	10960
113	14341	10818
114	14463	10690
115	14577	10556
116	14672	10408
117	14768	10262
118	14983	10198
119	15116	10077
120	15219	9936
121	15333	9803
122	15455	9675
123	15563	9539
124	15659	9395
125	15768	9260
126	15981	9186
127	16092	9052
128	16191	8911
129	16305	8780
130	16430	8654
131	16592	8547
132	16718	8422
133	16843	8296
134	16981	8176
135	17213	8100
136	17421	8011
137	17603	7908
138	17738	7784
139	17876	7661
140	18017	7539
141	18145	7411
142	18271	7283
143	18438	7170
144	18576	7046
145	18732	6928
146	18845	6794
147	18972	6665
148	19120	6544
149	19259	6419
150	19452	6312
151	19753	6237
152	19870	6103
153	19974	5966
154	20100	5835
155	20215	5701
156	20335	5569
157	20471	5441
158	20592	5310
159	20714	5178
160	20832	5046
161	20954	4915
162	21072	4783
163	21184	4650
164	21307	4519
165	21419	4387
166	21541	4256
167	21658	4125
168	21749	3989
169	21935	3870
170	22117	3750
171	22244	3621
172	22354	3488
173	22479	3358
174	22595	3227
175	22706	3096
176	22836	2967
177	22940	2835
178	23045	2703
179	23148	2572
180	23268	2442
181	23405	2314
182	23543	2187
183	23656	2057
184	23772	1927
185	23875	1797
186	23985	1667
187	24089	1537
188	24317	1415
189	24457	1287
190	24575	1157
191	24678	1028
192	24831	900
193	24975	772
194	25077	643
195	25185	513
196	25303	385
197	25448	257
198	25560	128
199	25660	0
