GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,homePosition,homePoints,homePercentage,awayPosition,awayPoints,awayPercentage,Home Odds,Away Odds,previous_game_home_win_loss,previous_game_away_win_loss,previous_game_home_position,previous_game_home_points,previous_game_home_percentage,previous_game_away_position,previous_game_away_points,previous_game_away_percentage,Rivalry,HomeTeamEncode,AwayTeamEncode,VenueEncode,StadiumCapacity,DayC,Day,Month,MinutesSinceMidnight,HomeProbability,AwayProbability,isFinal,CapacityUtilisation
2012R0102,2012,1,2012-03-29,25.7,9.7,0.0,M.C.G.,1900-01-01 19:45:00,78285,Richmond,3.4,5.6,10.7,12.9,81,Carlton,3.2,8.7,11.13,18.17,125,15.0,0.0,64.8,4.0,4.0,154.3,2.48,1.52,-1.0,-1.0,9.0,0.0,0.0,9.0,0.0,0.0,1,14,3,1,100024,Thursday,3,3,1185,0.40322580645161293,0.6578947368421053,0,0.7826621610813405
2012R0103,2012,1,2012-03-30,27.4,9.7,0.0,M.C.G.,1900-01-01 19:50:00,78466,Hawthorn,2.1,10.6,14.1,20.17,137,Collingwood,2.7,7.9,12.16,16.19,115,6.0,4.0,119.1,13.0,0.0,83.9,1.65,2.19,-1.0,-1.0,9.0,0.0,0.0,9.0,0.0,0.0,0,10,4,1,100024,Friday,4,3,1190,0.6060606060606061,0.4566210045662101,0,0.7844717267855714
2012R0104,2012,1,2012-03-31,29.1,15.1,0.6,M.C.G.,1900-01-01 13:45:00,33473,Melbourne,3.3,7.4,8.8,11.12,78,Brisbane Lions,1.4,7.8,13.13,17.17,119,14.0,0.0,65.5,5.0,4.0,152.6,1.42,2.81,-1.0,-1.0,9.0,0.0,0.0,9.0,0.0,0.0,0,11,2,1,100024,Saturday,5,3,825,0.7042253521126761,0.35587188612099646,0,0.3346496840758218
2012R0105,2012,1,2012-03-31,28.2,19.7,0.0,Carrara,1900-01-01 15:45:00,12790,Gold Coast,3.1,5.3,8.6,10.8,68,Adelaide,7.8,11.1,15.16,19.23,137,17.0,0.0,49.6,2.0,4.0,201.5,4.39,1.22,-1.0,-1.0,9.0,0.0,0.0,9.0,0.0,0.0,0,8,1,2,25000,Saturday,5,3,945,0.22779043280182235,0.819672131147541,0,0.5116
2012R0106,2012,1,2012-03-31,24.0,9.0,0.0,Subiaco,1900-01-01 16:45:00,34601,Fremantle,6.0,8.3,12.8,16.9,105,Geelong,4.0,9.2,12.7,15.11,101,8.0,4.0,104.0,11.0,0.0,96.2,1.96,1.79,-1.0,-1.0,9.0,0.0,0.0,9.0,0.0,0.0,0,6,7,3,42922,Saturday,5,3,1005,0.5102040816326531,0.5586592178770949,0,0.8061367131074973
2012R0107,2012,1,2012-03-31,29.1,15.1,0.6,Docklands,1900-01-01 19:45:00,45818,North Melbourne,4.3,8.5,10.1,15.12,102,Essendon,3.2,9.8,13.14,14.2,104,10.0,0.0,98.1,9.0,4.0,102.0,2.14,1.66,-1.0,-1.0,9.0,0.0,0.0,9.0,0.0,0.0,0,12,5,4,53359,Saturday,5,3,1185,0.4672897196261682,0.6024096385542169,0,0.858674263010926
2012R0108,2012,1,2012-04-01,20.4,14.3,0.0,Docklands,1900-01-01 13:10:00,24977,Western Bulldogs,4.3,8.5,10.11,12.15,87,West Coast,6.2,10.6,16.9,21.1,136,16.0,0.0,64.0,3.0,4.0,156.3,2.25,1.6,-1.0,-1.0,9.0,0.0,0.0,9.0,0.0,0.0,0,18,17,4,53359,Sunday,6,4,790,0.4444444444444444,0.625,0,0.46809348001274387
2012R0109,2012,1,2012-04-01,24.3,11.8,0.0,Football Park,1900-01-01 16:10:00,21179,Port Adelaide,5.2,8.6,11.9,13.11,89,St Kilda,2.1,9.3,11.4,13.7,85,7.0,4.0,104.7,12.0,0.0,95.5,2.86,1.41,-1.0,-1.0,9.0,0.0,0.0,9.0,0.0,0.0,0,13,15,5,51240,Sunday,6,4,970,0.3496503496503497,0.7092198581560284,0,0.41332943013270884
2012R0201,2012,2,2012-04-05,28.4,17.9,0.0,Gabba,1900-01-01 19:40:00,25913,Brisbane Lions,6.1,7.6,7.7,9.9,63,Carlton,5.5,10.9,16.1,23.16,154,13.0,4.0,78.4,2.0,8.0,193.8,3.46,1.3,1.0,1.0,5.0,4.0,152.6,4.0,4.0,154.3,0,2,3,6,42000,Thursday,3,4,1180,0.28901734104046245,0.7692307692307692,0,0.6169761904761905
2012R0202,2012,2,2012-04-07,19.8,9.0,3.6,Docklands,1900-01-01 13:45:00,34118,Essendon,5.2,10.6,11.13,16.15,111,Port Adelaide,5.2,7.3,12.5,13.8,86,5.0,8.0,114.4,12.0,4.0,89.3,1.23,4.05,1.0,1.0,9.0,4.0,102.0,7.0,4.0,104.7,0,5,13,4,53359,Saturday,5,4,825,0.8130081300813008,0.2469135802469136,0,0.6394047864465227
2012R0206,2012,2,2012-04-07,19.8,9.0,3.6,M.C.G.,1900-01-01 19:40:00,57268,Collingwood,2.8,5.1,11.12,12.13,85,Richmond,1.6,2.1,4.13,8.16,64,9.0,4.0,99.5,15.0,0.0,69.0,1.14,5.49,0.0,0.0,13.0,0.0,83.9,15.0,0.0,64.8,1,4,14,1,100024,Saturday,5,4,1180,0.8771929824561404,0.18214936247723132,0,0.5725425897784532
2012R0203,2012,2,2012-04-07,27.4,18.2,0.0,S.C.G.,1900-01-01 14:10:00,22242,Sydney,4.4,9.7,11.9,14.1,94,Fremantle,2.2,3.3,9.4,12.9,81,4.0,8.0,164.4,11.0,4.0,95.4,1.67,2.15,1.0,1.0,1.0,4.0,270.3,8.0,4.0,104.0,0,16,6,7,48000,Saturday,5,4,850,0.5988023952095809,0.46511627906976744,0,0.463375
2012R0205,2012,2,2012-04-07,19.8,13.9,0.0,Football Park,1900-01-01 19:10:00,34021,Adelaide,4.4,7.8,7.11,11.16,82,Western Bulldogs,1.4,3.7,7.9,9.1,64,3.0,8.0,165.9,14.0,0.0,69.3,1.21,4.26,1.0,0.0,2.0,4.0,201.5,16.0,0.0,64.0,0,1,18,5,51240,Saturday,5,4,1150,0.8264462809917356,0.2347417840375587,0,0.6639539422326307
2012R0204,2012,2,2012-04-07,29.9,11.5,0.0,Subiaco,1900-01-01 14:40:00,35674,West Coast,4.3,11.8,19.14,25.16,166,Melbourne,1.1,4.2,6.2,9.4,58,1.0,8.0,208.3,16.0,0.0,47.7,1.05,10.34,1.0,0.0,3.0,4.0,156.3,14.0,0.0,65.5,0,17,11,3,42922,Saturday,5,4,880,0.9523809523809523,0.09671179883945842,0,0.8311355482037184
2012R0208,2012,2,2012-04-08,20.0,6.9,0.0,Docklands,1900-01-01 16:40:00,21078,St Kilda,5.2,8.7,15.1,21.13,139,Gold Coast,0.2,2.2,6.4,7.5,47,7.0,4.0,164.7,17.0,0.0,41.7,1.05,9.56,0.0,0.0,12.0,0.0,95.5,17.0,0.0,49.6,0,15,8,4,53359,Sunday,6,4,1000,0.9523809523809523,0.10460251046025104,0,0.395022395472179
2012R0209,2012,2,2012-04-09,15.2,10.1,1.4,M.C.G.,1900-01-01 15:10:00,69231,Geelong,4.1,7.3,10.7,14.8,92,Hawthorn,3.4,8.6,13.7,13.12,90,10.0,4.0,99.0,8.0,4.0,109.7,2.48,1.53,0.0,1.0,11.0,0.0,96.2,6.0,4.0,119.1,1,7,10,1,100024,Monday,0,4,910,0.40322580645161293,0.6535947712418301,0,0.6921438854674878
2012R0301,2012,3,2012-04-13,24.8,8.0,0.4,M.C.G.,1900-01-01 19:50:00,84259,Carlton,7.1,9.7,15.11,18.14,122,Collingwood,3.2,6.3,8.6,9.8,62,2.0,12.0,194.7,13.0,4.0,81.1,1.83,1.93,1.0,1.0,2.0,8.0,193.8,9.0,4.0,99.5,1,3,4,1,100024,Friday,4,4,1190,0.5464480874316939,0.5181347150259068,0,0.8423878269215388
2012R0303,2012,3,2012-04-14,27.9,10.8,0.0,Football Park,1900-01-01 13:40:00,19032,Port Adelaide,3.3,5.6,9.9,12.11,83,Sydney,5.2,8.4,10.6,16.9,105,12.0,4.0,85.7,3.0,12.0,148.8,2.58,1.48,0.0,1.0,12.0,4.0,89.3,4.0,8.0,164.4,0,13,16,5,51240,Saturday,5,4,820,0.38759689922480617,0.6756756756756757,0,0.37142857142857144
2012R0302,2012,3,2012-04-14,24.8,13.1,0.0,M.C.G.,1900-01-01 13:45:00,49826,Richmond,4.4,6.8,15.11,20.13,133,Melbourne,2.3,5.6,6.6,11.8,74,10.0,4.0,97.9,17.0,0.0,50.2,1.21,4.39,0.0,0.0,15.0,0.0,69.0,16.0,0.0,47.7,0,14,11,1,100024,Saturday,5,4,825,0.8264462809917356,0.22779043280182235,0,0.4981404462928897
