HomeTeam,Count,MAE,MSE,RMSE,R2,MAPE (%)
Adelaide,11,0.06519397203819409,0.005961735856724099,0.07721227788845567,0.7124554899133189,9.799211093461714
Brisbane Lions,12,0.053808689842370534,0.0037960900811055006,0.061612418237766815,0.8428478035530235,11.503286323852036
Carlton,6,0.07270480958965055,0.006540028402436824,0.08087044208137374,0.7310659252560069,17.801800706027834
Collingwood,9,0.10173846995651203,0.016579985409268985,0.12876329216538768,0.39680882755404523,19.22234955711267
Essendon,6,0.08480506035890271,0.014584136973301067,0.12076480022465598,0.37976354872424534,14.86241990376436
Fremantle,12,0.05081388787682196,0.004092026590400092,0.06396895020554966,0.43698737205100036,7.046594559787746
Geelong,10,0.07412668425841565,0.0070451789175908245,0.0839355640809712,0.31753393005261266,12.57728035119996
Gold Coast,6,0.058406741482879075,0.005212572584598504,0.07219814806903639,0.8137724064595087,15.503356044654462
Greater Western Sydney,9,0.06048953945370298,0.004764263637033714,0.0690236454922059,0.2986426334880955,15.719635965345516
Hawthorn,10,0.04766028684070649,0.002959737204292406,0.05440346684074836,0.8116380475597827,9.147613044717277
Melbourne,11,0.035439291581064465,0.0019104672888827425,0.04370889256069916,0.861115846312738,9.088982724819443
North Melbourne,9,0.09424717227116917,0.013809598743852628,0.11751424910985318,0.33686645508226354,12.687129580187746
Port Adelaide,15,0.05597320885476309,0.005197601965607026,0.07209439621501124,0.8229749701196566,10.833860497981366
Richmond,10,0.06068636557750088,0.005193309696038393,0.07206462166721195,0.7119361470613923,9.545533412987025
St Kilda,12,0.0896964319894184,0.011774290924988988,0.10850940477667817,0.5844144186961914,15.363702141680594
Sydney,9,0.06992268343577825,0.005835214500700191,0.07638857572111285,0.5981619021278587,14.168558425917174
West Coast,9,0.05644414667987036,0.005607275251818155,0.07488174177874173,0.7127114502099112,7.4826577648146975
Western Bulldogs,15,0.07119232623682843,0.008084347135381498,0.08991299758867735,0.5975548367455585,13.214747671380648
