Venue,Count,MAE,MSE,RMSE,R2,MAPE (%)
Adelaide Oval,19,0.049176712145880395,0.003806479977508176,0.06169667719989608,0.7644007783574615,7.030460781719388
Carrara,6,0.058406741482879075,0.005212572584598504,0.07219814806903639,0.8137724064595087,15.503356044654462
Docklands,43,0.08187880909614728,0.010944224835876685,0.10461464924128305,0.6006838914119046,13.290311524194173
Football Park,7,0.0889106134956934,0.010174286333630735,0.1008676674342712,0.17150319841352835,19.531496377875857
Gabba,12,0.053808689842370534,0.0037960900811055006,0.061612418237766815,0.8428478035530235,11.503286323852036
Kardinia Park,8,0.062379447041116864,0.004757834414022865,0.06897705715687547,0.5688807758772152,10.105138767569283
M.C.G.,47,0.06484921880554403,0.006960446869471452,0.08342929263437064,0.7289024634737313,13.321592532903967
Perth Stadium,9,0.07507143562683456,0.00715493157872339,0.08458682863616174,0.595105866046032,10.971477663140508
S.C.G.,9,0.06992268343577825,0.005835214500700191,0.07638857572111285,0.5981619021278587,14.168558425917174
Subiaco,12,0.036843421166598805,0.0029312843452211665,0.05414133675133231,-0.08310490709139273,4.429979636043388
Sydney Showground,9,0.06048953945370298,0.004764263637033714,0.0690236454922059,0.2986426334880955,15.719635965345516
