iter	RMSE
0	15385.20632
1	14627.72728
2	13920.28325
3	13317.90921
4	12750.90887
5	12375.32914
6	11940.82088
7	11641.76057
8	11325.98047
9	10973.65831
10	10665.39552
11	10369.06768
12	10129.06453
13	9929.918153
14	9749.638408
15	9556.293868
16	9414.08277
17	9213.026863
18	8995.800254
19	8844.691844
20	8742.092481
21	8601.244578
22	8516.648722
23	8411.232472
24	8313.513253
25	8225.297136
26	8141.989004
27	8104.778096
28	8031.988336
29	7947.88771
30	7857.402076
31	7804.708907
32	7743.824264
33	7679.818441
34	7649.535349
35	7578.107858
36	7539.579496
37	7505.775762
38	7443.552333
39	7385.266533
40	7301.572894
41	7275.149747
42	7190.804996
43	7150.931869
44	7126.736122
45	7078.624542
46	7048.757657
47	6995.062255
48	6975.040775
49	6941.527845
50	6899.420195
51	6871.413815
52	6831.89538
53	6790.20579
54	6749.015006
55	6718.357566
56	6663.282818
57	6640.471501
58	6614.721266
59	6560.864544
60	6539.575737
61	6506.023284
62	6468.027739
63	6429.991993
64	6394.486021
65	6358.987405
66	6327.423418
67	6285.859735
68	6260.096326
69	6239.168497
70	6211.112556
71	6191.293125
72	6146.702149
73	6101.452776
74	6082.356716
75	6048.622603
76	6003.234433
77	5983.932352
78	5948.378693
79	5900.881099
80	5873.816915
81	5843.703485
82	5816.189053
83	5785.557009
84	5759.752866
85	5738.281542
86	5692.870439
87	5657.566143
88	5632.977463
89	5595.818431
90	5574.852188
91	5553.298462
92	5534.317429
93	5510.472055
94	5474.210024
95	5443.835464
96	5422.408975
97	5395.758672
98	5374.356596
99	5356.558475
100	5333.285275
101	5316.009071
102	5293.329502
103	5272.54902
104	5246.222761
105	5231.08172
106	5210.342604
107	5178.791902
108	5161.717103
109	5140.303299
110	5115.737599
111	5101.385509
112	5083.590143
113	5068.237429
114	5052.613577
115	5028.92329
116	5010.378822
117	4978.948649
118	4970.841982
119	4949.445748
120	4926.800273
121	4911.077464
122	4900.362351
123	4879.620687
124	4861.373904
125	4840.569647
126	4828.352339
127	4811.806706
128	4798.335655
129	4783.193713
130	4763.26055
131	4755.266697
132	4733.111684
133	4714.760769
134	4704.879738
135	4691.058263
136	4673.267335
137	4653.268526
138	4633.915799
139	4617.837736
140	4601.833728
141	4591.647476
142	4574.007462
143	4561.860186
144	4544.858107
145	4534.058597
146	4520.345198
147	4508.310915
148	4491.413783
149	4481.169119
150	4458.444551
151	4442.471802
152	4427.550189
153	4415.586313
154	4396.560958
155	4381.479375
156	4373.655914
157	4361.402258
158	4346.836048
159	4331.607196
160	4305.367431
161	4290.720754
162	4280.066051
163	4266.238382
164	4250.554744
165	4238.761377
166	4217.261218
167	4199.555582
168	4188.755166
169	4176.058557
170	4162.303912
171	4145.677943
172	4135.2505
173	4126.424473
174	4115.364239
175	4102.031702
176	4093.453205
177	4079.430993
178	4069.759026
179	4059.255357
180	4041.593291
181	4033.006731
182	4025.077207
183	4009.447996
184	3992.820235
185	3979.692891
186	3962.795661
187	3943.585666
188	3931.967292
189	3911.852097
190	3901.281392
191	3888.235088
192	3871.813419
193	3858.251463
194	3846.394428
195	3830.945212
196	3820.289428
197	3808.245857
198	3793.43333
199	3784.560735
