iter	Passed	Remaining
0	2	406
1	4	403
2	5	380
3	7	369
4	9	355
5	10	346
6	12	337
7	13	328
8	15	319
9	16	313
10	18	311
11	19	312
12	21	312
13	23	308
14	24	304
15	26	301
16	27	298
17	29	296
18	30	294
19	32	292
20	34	290
21	35	290
22	37	290
23	39	288
24	40	286
25	42	283
26	43	281
27	45	279
28	46	276
29	48	275
30	50	273
31	51	272
32	53	271
33	55	268
34	56	267
35	58	264
36	59	262
37	60	259
38	62	256
39	63	255
40	65	254
41	67	252
42	68	250
43	70	249
44	71	247
45	73	244
46	74	242
47	76	240
48	77	238
49	79	237
50	80	235
51	82	234
52	83	232
53	85	231
54	87	229
55	88	227
56	90	226
57	91	224
58	93	222
59	95	221
60	96	220
61	98	218
62	100	218
63	102	217
64	103	215
65	105	215
66	107	213
67	108	211
68	110	210
69	112	208
70	114	207
71	115	205
72	116	203
73	118	202
74	120	200
75	121	198
76	122	196
77	124	194
78	126	193
79	127	191
80	129	190
81	131	188
82	132	186
83	134	185
84	135	183
85	137	181
86	138	180
87	140	179
88	142	177
89	144	176
90	145	174
91	147	173
92	149	171
93	150	169
94	152	168
95	153	166
96	155	165
97	157	163
98	159	162
99	160	160
100	162	158
101	163	157
102	165	155
103	166	153
104	167	151
105	169	149
106	170	148
107	172	146
108	174	145
109	175	143
110	177	142
111	179	140
112	180	139
113	182	137
114	183	135
115	185	134
116	187	132
117	189	131
118	190	129
119	193	128
120	194	127
121	196	125
122	198	124
123	200	122
124	201	120
125	203	119
126	204	117
127	206	116
128	208	114
129	209	113
130	211	111
131	212	109
132	214	108
133	216	106
134	217	104
135	219	103
136	221	101
137	223	100
138	224	98
139	226	96
140	227	95
141	229	93
142	231	92
143	233	90
144	234	88
145	236	87
146	237	85
147	239	84
148	241	82
149	242	80
150	244	79
151	245	77
152	247	76
153	249	74
154	250	72
155	252	71
156	254	69
157	255	67
158	257	66
159	258	64
160	260	63
161	261	61
162	263	59
163	265	58
164	267	56
165	268	55
166	270	53
167	271	51
168	273	50
169	274	48
170	276	46
171	278	45
172	279	43
173	281	42
174	283	40
175	284	38
176	285	37
177	287	35
178	288	33
179	290	32
180	292	30
181	294	29
182	295	27
183	297	25
184	298	24
185	299	22
186	301	20
187	303	19
188	304	17
189	306	16
190	308	14
191	309	12
192	311	11
193	312	9
194	314	8
195	315	6
196	317	4
197	318	3
198	319	1
199	321	0
