GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,homePosition,homePoints,homePercentage,awayPosition,awayPoints,awayPercentage,Day,Month
2012R0101,2012,1,2012-03-24,24.0,12.2,0.0,Stadium Australia,1900-01-01 19:20:00,38203,Greater Western Sydney,1.2,3.3,3.4,5.7,37,Sydney,4.1,8.4,13.8,14.16,100,18.0,0.0,37.0,1.0,4.0,270.3,Saturday,3
2012R0102,2012,1,2012-03-29,25.7,9.7,0.0,M.C.G.,1900-01-01 19:45:00,78285,Richmond,3.4,5.6,10.7,12.9,81,Carlton,3.2,8.7,11.13,18.17,125,15.0,0.0,64.8,4.0,4.0,154.3,Thursday,3
2012R0103,2012,1,2012-03-30,27.4,9.7,0.0,M.C.G.,1900-01-01 19:50:00,78466,Hawthorn,2.1,10.6,14.1,20.17,137,Collingwood,2.7,7.9,12.16,16.19,115,6.0,4.0,119.1,13.0,0.0,83.9,Friday,3
2012R0104,2012,1,2012-03-31,29.1,15.1,0.6,M.C.G.,1900-01-01 13:45:00,33473,Melbourne,3.3,7.4,8.8,11.12,78,Brisbane Lions,1.4,7.8,13.13,17.17,119,14.0,0.0,65.5,5.0,4.0,152.6,Saturday,3
2012R0105,2012,1,2012-03-31,28.2,19.7,0.0,Carrara,1900-01-01 15:45:00,12790,Gold Coast,3.1,5.3,8.6,10.8,68,Adelaide,7.8,11.1,15.16,19.23,137,17.0,0.0,49.6,2.0,4.0,201.5,Saturday,3
2012R0106,2012,1,2012-03-31,24.0,9.0,0.0,Subiaco,1900-01-01 16:45:00,34601,Fremantle,6.0,8.3,12.8,16.9,105,Geelong,4.0,9.2,12.7,15.11,101,8.0,4.0,104.0,11.0,0.0,96.2,Saturday,3
2012R0107,2012,1,2012-03-31,29.1,15.1,0.6,Docklands,1900-01-01 19:45:00,45818,North Melbourne,4.3,8.5,10.1,15.12,102,Essendon,3.2,9.8,13.14,14.2,104,10.0,0.0,98.1,9.0,4.0,102.0,Saturday,3
2012R0108,2012,1,2012-04-01,20.4,14.3,0.0,Docklands,1900-01-01 13:10:00,24977,Western Bulldogs,4.3,8.5,10.11,12.15,87,West Coast,6.2,10.6,16.9,21.1,136,16.0,0.0,64.0,3.0,4.0,156.3,Sunday,4
2012R0109,2012,1,2012-04-01,24.3,11.8,0.0,Football Park,1900-01-01 16:10:00,21179,Port Adelaide,5.2,8.6,11.9,13.11,89,St Kilda,2.1,9.3,11.4,13.7,85,7.0,4.0,104.7,12.0,0.0,95.5,Sunday,4
2012R0201,2012,2,2012-04-05,28.4,17.9,0.0,Gabba,1900-01-01 19:40:00,25913,Brisbane Lions,6.1,7.6,7.7,9.9,63,Carlton,5.5,10.9,16.1,23.16,154,13.0,4.0,78.4,2.0,8.0,193.8,Thursday,4
2012R0202,2012,2,2012-04-07,19.8,9.0,3.6,Docklands,1900-01-01 13:45:00,34118,Essendon,5.2,10.6,11.13,16.15,111,Port Adelaide,5.2,7.3,12.5,13.8,86,5.0,8.0,114.4,12.0,4.0,89.3,Saturday,4
2012R0203,2012,2,2012-04-07,27.4,18.2,0.0,S.C.G.,1900-01-01 14:10:00,22242,Sydney,4.4,9.7,11.9,14.1,94,Fremantle,2.2,3.3,9.4,12.9,81,4.0,8.0,164.4,11.0,4.0,95.4,Saturday,4
