GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,homePosition,homePoints,homePercentage,awayPosition,awayPoints,awayPercentage,Day,Month,MinutesSinceMidnight,finalPosition,finalPoints,finalPercentage,finalAPosition,finalAPoints,finalAPercentage
2012R0101,2012,1,2012-03-24,24.0,12.2,0.0,1,1900-01-01 19:20:00,38203,9,1.2,3.3,3.4,5.7,37,16,4.1,8.4,13.8,14.16,100,18.0,0.0,37.0,1.0,4.0,270.3,5,3,1160,18,8,46.2,3,64,140.6
2012R0102,2012,1,2012-03-29,25.7,9.7,0.0,2,1900-01-01 19:45:00,78285,14,3.4,5.6,10.7,12.9,81,3,3.2,8.7,11.13,18.17,125,15.0,0.0,64.8,4.0,4.0,154.3,3,3,1185,12,42,111.6,10,44,108.0
2012R0103,2012,1,2012-03-30,27.4,9.7,0.0,2,1900-01-01 19:50:00,78466,10,2.1,10.6,14.1,20.17,137,4,2.7,7.9,12.16,16.19,115,6.0,4.0,119.1,13.0,0.0,83.9,4,3,1190,1,68,154.6,4,64,116.5
2012R0104,2012,1,2012-03-31,29.1,15.1,0.6,2,1900-01-01 13:45:00,33473,11,3.3,7.4,8.8,11.12,78,2,1.4,7.8,13.13,17.17,119,14.0,0.0,65.5,5.0,4.0,152.6,5,3,825,16,16,67.5,13,40,91.0
2012R0105,2012,1,2012-03-31,28.2,19.7,0.0,3,1900-01-01 15:45:00,12790,8,3.1,5.3,8.6,10.8,68,1,7.8,11.1,15.16,19.23,137,17.0,0.0,49.6,2.0,4.0,201.5,5,3,945,17,12,60.8,2,68,132.5
2012R0106,2012,1,2012-03-31,24.0,9.0,0.0,4,1900-01-01 16:45:00,34601,6,6.0,8.3,12.8,16.9,105,7,4.0,9.2,12.7,15.11,101,8.0,4.0,104.0,11.0,0.0,96.2,5,3,1005,7,56,115.7,6,60,117.1
2012R0107,2012,1,2012-03-31,29.1,15.1,0.6,5,1900-01-01 19:45:00,45818,12,4.3,8.5,10.1,15.12,102,5,3.2,9.8,13.14,14.2,104,10.0,0.0,98.1,9.0,4.0,102.0,5,3,1185,8,56,112.5,11,44,100.0
2012R0108,2012,1,2012-04-01,20.4,14.3,0.0,5,1900-01-01 13:10:00,24977,18,4.3,8.5,10.11,12.15,87,17,6.2,10.6,16.9,21.1,136,16.0,0.0,64.0,3.0,4.0,156.3,6,4,790,15,20,67.0,5,60,124.2
2012R0109,2012,1,2012-04-01,24.3,11.8,0.0,6,1900-01-01 16:10:00,21179,13,5.2,8.6,11.9,13.11,89,15,2.1,9.3,11.4,13.7,85,7.0,4.0,104.7,12.0,0.0,95.5,6,4,970,14,22,78.9,9,48,123.3
2012R0201,2012,2,2012-04-05,28.4,17.9,0.0,7,1900-01-01 19:40:00,25913,2,6.1,7.6,7.7,9.9,63,3,5.5,10.9,16.1,23.16,154,13.0,4.0,78.4,2.0,8.0,193.8,3,4,1180,13,40,91.0,10,44,108.0
2012R0202,2012,2,2012-04-07,19.8,9.0,3.6,5,1900-01-01 13:45:00,34118,5,5.2,10.6,11.13,16.15,111,13,5.2,7.3,12.5,13.8,86,5.0,8.0,114.4,12.0,4.0,89.3,5,4,825,11,44,100.0,14,22,78.9
2012R0203,2012,2,2012-04-07,27.4,18.2,0.0,8,1900-01-01 14:10:00,22242,16,4.4,9.7,11.9,14.1,94,6,2.2,3.3,9.4,12.9,81,4.0,8.0,164.4,11.0,4.0,95.4,5,4,850,3,64,140.6,7,56,115.7
2012R0204,2012,2,2012-04-07,29.9,11.5,0.0,4,1900-01-01 14:40:00,35674,17,4.3,11.8,19.14,25.16,166,11,1.1,4.2,6.2,9.4,58,1.0,8.0,208.3,16.0,0.0,47.7,5,4,880,5,60,124.2,16,16,67.5
2012R0205,2012,2,2012-04-07,19.8,13.9,0.0,6,1900-01-01 19:10:00,34021,1,4.4,7.8,7.11,11.16,82,18,1.4,3.7,7.9,9.1,64,3.0,8.0,165.9,14.0,0.0,69.3,5,4,1150,2,68,132.5,15,20,67.0
2012R0206,2012,2,2012-04-07,19.8,9.0,3.6,2,1900-01-01 19:40:00,57268,4,2.8,5.1,11.12,12.13,85,14,1.6,2.1,4.13,8.16,64,9.0,4.0,99.5,15.0,0.0,69.0,5,4,1180,4,64,116.5,12,42,111.6
2012R0207,2012,2,2012-04-08,18.4,8.9,0.4,9,1900-01-01 13:10:00,11127,12,7.4,12.8,20.9,28.15,183,9,0.3,0.4,6.6,8.6,54,6.0,4.0,180.4,18.0,0.0,32.2,6,4,790,8,56,112.5,18,8,46.2
2012R0208,2012,2,2012-04-08,20.0,6.9,0.0,5,1900-01-01 16:40:00,21078,15,5.2,8.7,15.1,21.13,139,8,0.2,2.2,6.4,7.5,47,7.0,4.0,164.7,17.0,0.0,41.7,6,4,1000,9,48,123.3,17,12,60.8
2012R0209,2012,2,2012-04-09,15.2,10.1,1.4,2,1900-01-01 15:10:00,69231,7,4.1,7.3,10.7,14.8,92,10,3.4,8.6,13.7,13.12,90,10.0,4.0,99.0,8.0,4.0,109.7,0,4,910,6,60,117.1,1,68,154.6
2012R0301,2012,3,2012-04-13,24.8,8.0,0.4,2,1900-01-01 19:50:00,84259,3,7.1,9.7,15.11,18.14,122,4,3.2,6.3,8.6,9.8,62,2.0,12.0,194.7,13.0,4.0,81.1,4,4,1190,10,44,108.0,4,64,116.5
2012R0302,2012,3,2012-04-14,24.8,13.1,0.0,2,1900-01-01 13:45:00,49826,14,4.4,6.8,15.11,20.13,133,11,2.3,5.6,6.6,11.8,74,10.0,4.0,97.9,17.0,0.0,50.2,5,4,825,12,42,111.6,16,16,67.5
2012R0303,2012,3,2012-04-14,27.9,10.8,0.0,6,1900-01-01 13:40:00,19032,13,3.3,5.6,9.9,12.11,83,16,5.2,8.4,10.6,16.9,105,12.0,4.0,85.7,3.0,12.0,148.8,5,4,820,14,22,78.9,3,64,140.6
2012R0304,2012,3,2012-04-14,26.0,11.8,0.0,4,1900-01-01 14:40:00,33473,6,1.4,4.7,6.13,8.16,64,2,2.1,3.2,5.3,5.5,35,9.0,8.0,108.7,14.0,4.0,73.3,5,4,880,7,56,115.7,13,40,91.0
2012R0305,2012,3,2012-04-14,25.2,18.3,9.2,3,1900-01-01 19:40:00,17069,8,2.3,7.5,12.7,13.1,88,5,5.6,7.1,10.12,15.15,105,16.0,0.0,53.3,4.0,12.0,115.9,5,4,1180,17,12,60.8,11,44,100.0
2012R0306,2012,3,2012-04-14,24.8,13.1,0.0,5,1900-01-01 19:40:00,28971,18,1.2,1.5,2.6,5.1,40,15,4.5,6.6,13.9,15.13,103,15.0,0.0,59.5,5.0,8.0,185.8,5,4,1180,15,20,67.0,9,48,123.3
2012R0307,2012,3,2012-04-15,26.9,16.0,0.0,10,1900-01-01 13:10:00,6875,9,2.0,4.1,6.5,10.9,69,17,11.4,15.8,21.9,23.12,150,18.0,0.0,37.0,1.0,12.0,211.2,6,4,790,18,8,46.2,5,60,124.2
2012R0308,2012,3,2012-04-15,26.7,15.6,0.0,2,1900-01-01 15:15:00,33524,10,5.3,10.7,15.9,21.14,140,1,4.3,6.8,9.1,12.12,84,7.0,8.0,126.1,8.0,8.0,111.4,6,4,915,1,68,154.6,2,68,132.5
2012R0309,2012,3,2012-04-15,26.7,15.6,0.0,5,1900-01-01 16:40:00,29630,12,4.5,9.5,16.8,20.11,131,7,1.3,5.8,9.14,16.18,114,6.0,8.0,152.9,11.0,4.0,94.2,6,4,1000,8,56,112.5,6,60,117.1
2012R0401,2012,4,2012-04-20,22.1,11.8,2.4,5,1900-01-01 19:50:00,30172,15,4.3,6.9,8.1,11.13,79,6,3.2,6.3,11.6,14.8,92,7.0,8.0,151.5,6.0,12.0,110.7,4,4,1190,9,48,123.3,7,56,115.7
2012R0402,2012,4,2012-04-21,24.0,13.3,2.6,2,1900-01-01 13:45:00,73172,3,4.4,4.7,5.12,11.13,79,5,3.6,8.11,12.17,15.19,109,4.0,12.0,152.4,3.0,16.0,120.8,5,4,825,10,44,108.0,11,44,100.0
2012R0403,2012,4,2012-04-21,24.0,13.3,2.6,5,1900-01-01 14:10:00,30741,4,7.5,8.8,13.11,14.13,97,13,2.2,5.7,8.8,10.13,73,12.0,8.0,90.7,14.0,4.0,83.2,5,4,850,4,64,116.5,14,22,78.9
2012R0404,2012,4,2012-04-21,21.5,18.8,0.0,6,1900-01-01 16:10:00,28261,1,5.4,7.8,10.13,13.18,96,9,1.1,5.3,6.6,7.8,50,5.0,12.0,123.9,18.0,0.0,39.7,5,4,970,2,68,132.5,18,8,46.2
2012R0405,2012,4,2012-04-21,21.9,9.2,0.0,4,1900-01-01 17:40:00,40080,17,0.8,0.12,2.16,5.21,51,10,0.4,2.7,3.13,5.16,46,1.0,16.0,193.5,9.0,8.0,120.8,5,4,1060,5,60,124.2,1,68,154.6
2012R0406,2012,4,2012-04-21,29.9,18.1,0.0,7,1900-01-01 19:40:00,21980,2,3.3,7.4,12.5,17.9,111,8,2.4,5.8,5.9,6.1,46,11.0,8.0,95.9,17.0,0.0,50.6,5,4,1180,13,40,91.0,17,12,60.8
2012R0407,2012,4,2012-04-22,23.2,14.5,7.2,11,1900-01-01 13:10:00,21952,7,4.1,7.3,10.4,11.9,75,14,3.1,3.6,7.1,9.11,65,10.0,8.0,97.7,13.0,4.0,95.5,6,4,790,6,60,117.1,12,42,111.6
