iter	RMSE
0	16519.74215
1	16092.19606
2	15656.14948
3	15270.28572
4	14851.22946
5	14467.12459
6	14094.33698
7	13761.67965
8	13443.28356
9	13132.62204
10	12833.39103
11	12596.81211
12	12357.05265
13	12130.8784
14	11884.75346
15	11687.15409
16	11462.02062
17	11265.27237
18	11094.02619
19	10925.49518
20	10753.38489
21	10579.96213
22	10444.58661
23	10281.21948
24	10149.73129
25	10003.73376
26	9893.012075
27	9750.595656
28	9619.053213
29	9502.87618
30	9371.190542
31	9270.544362
32	9195.275124
33	9114.845468
34	9017.847122
35	8932.228904
36	8848.10862
37	8764.748368
38	8683.373849
39	8627.839556
40	8550.89559
41	8490.180854
42	8420.015817
43	8346.713602
44	8289.98551
45	8226.616718
46	8163.818765
47	8101.763189
48	8038.131724
49	7995.750132
50	7917.308393
51	7871.178908
52	7828.203962
53	7784.924496
54	7732.619329
55	7690.625754
56	7654.775635
57	7611.464974
58	7576.125238
59	7543.129066
60	7505.379925
61	7469.651093
62	7428.475141
63	7400.098619
64	7371.037308
65	7342.201993
66	7307.108235
67	7283.719364
68	7255.288764
69	7229.107844
70	7207.771069
71	7178.086414
72	7150.907877
73	7128.616034
74	7111.628434
75	7077.139015
76	7056.288101
77	7033.807679
78	7010.54095
79	6997.349615
80	6976.041438
81	6962.22302
82	6944.882041
83	6925.649984
84	6914.946409
85	6900.281022
86	6881.39678
87	6869.049137
88	6850.862528
89	6832.76073
90	6811.375205
91	6798.465965
92	6782.257826
93	6770.151953
94	6755.21035
95	6746.813121
96	6730.588305
97	6720.99495
98	6707.757509
99	6699.789039
100	6685.620544
101	6672.506692
102	6653.461117
103	6639.964712
104	6628.62205
105	6610.351145
106	6583.504137
107	6568.767144
108	6557.765877
109	6541.807896
110	6527.151223
111	6521.247359
112	6510.369394
113	6494.863377
114	6484.022556
115	6474.097128
116	6467.200053
117	6458.778225
118	6446.198526
119	6428.164398
120	6408.498062
121	6397.424767
122	6390.017757
123	6379.950846
124	6362.161645
125	6345.707224
126	6321.354751
127	6306.974307
128	6294.233816
129	6281.682952
130	6268.008103
131	6260.081042
132	6248.418988
133	6240.346072
134	6233.192244
135	6222.47672
136	6209.064629
137	6193.619722
138	6185.171012
139	6177.098849
140	6163.184999
141	6152.239711
142	6145.272297
143	6133.910673
144	6120.74948
145	6109.834294
146	6100.65954
147	6093.719191
148	6085.553532
149	6075.643137
150	6062.782757
151	6049.597397
152	6039.29564
153	6034.502002
154	6022.304147
155	6012.073858
156	5997.266986
157	5984.255678
158	5967.917132
159	5959.873112
160	5955.590757
161	5945.176126
162	5933.837852
163	5926.54338
164	5916.425489
165	5910.789051
166	5906.355421
167	5900.265966
168	5885.057451
169	5881.827091
170	5875.608912
171	5868.792807
172	5855.457079
173	5845.660247
174	5833.039853
175	5826.014795
176	5818.170887
177	5811.096251
178	5798.695963
179	5792.846531
180	5779.675391
181	5768.163806
182	5764.038657
183	5754.548003
184	5754.267547
185	5738.36638
186	5729.336777
187	5718.565436
188	5709.786654
189	5699.437485
190	5693.016506
191	5685.865379
192	5677.052744
193	5670.356947
194	5656.065941
195	5648.873695
196	5638.611482
197	5627.851225
198	5616.050065
199	5602.230734
200	5598.214284
201	5590.144788
202	5578.605661
203	5565.639799
204	5561.89321
205	5552.40006
206	5535.88303
207	5521.521435
208	5516.381325
209	5511.054099
210	5500.297968
211	5493.448877
212	5486.155016
213	5476.627752
214	5467.70198
215	5456.119931
216	5434.151566
217	5427.962524
218	5416.954094
219	5411.119022
220	5401.662499
221	5390.249336
222	5386.426759
223	5380.836454
224	5377.131123
225	5372.358847
226	5362.414215
227	5358.628907
228	5353.121175
229	5333.862728
230	5327.755409
231	5323.41272
232	5314.765539
233	5313.132788
234	5303.856696
235	5294.158522
236	5286.478675
237	5278.522738
238	5264.556978
239	5257.179555
240	5250.403038
241	5244.582677
242	5238.897216
243	5222.043437
244	5218.994045
245	5206.764538
246	5199.183687
247	5192.60587
248	5183.357188
249	5176.166291
250	5171.969001
251	5168.189873
252	5162.017655
253	5146.671055
254	5138.344773
255	5132.104623
256	5118.758252
257	5113.91102
258	5104.65605
259	5099.386725
260	5088.444575
261	5084.950581
262	5081.112849
263	5071.591577
264	5065.757193
265	5062.908019
266	5056.70519
267	5051.086988
268	5042.16796
269	5037.713095
270	5032.795181
271	5022.632786
272	5015.930865
273	5011.569404
274	5000.064181
275	4990.209901
276	4985.886805
277	4975.100308
278	4969.961943
279	4961.497462
280	4947.88725
281	4938.907566
282	4935.228406
283	4929.94482
284	4920.306212
285	4912.837511
286	4906.960994
287	4897.807692
288	4893.697271
289	4886.780391
290	4881.761448
291	4875.151653
292	4868.475641
293	4863.603033
294	4860.236707
295	4851.145328
296	4846.210003
297	4838.803096
298	4834.866792
299	4829.499034
300	4828.47357
301	4824.43747
302	4814.942976
303	4808.839694
304	4799.008024
305	4795.245575
306	4790.378196
307	4786.556894
308	4777.976251
309	4772.772521
310	4766.361959
311	4761.255179
312	4752.457689
313	4747.700124
314	4740.925192
315	4735.125561
316	4729.875705
317	4721.424923
318	4720.584001
319	4715.582163
320	4710.933453
321	4702.672507
322	4696.054923
323	4686.971621
324	4682.244097
325	4678.404212
326	4673.931249
327	4670.035069
328	4666.64087
329	4663.654478
330	4661.450411
331	4653.613665
332	4647.605423
333	4641.521697
334	4639.104358
335	4630.116339
336	4625.363526
337	4618.862187
338	4615.902033
339	4607.037945
340	4604.779264
341	4601.308436
342	4589.425401
343	4581.07434
344	4576.239335
345	4572.478117
346	4567.871398
347	4562.913212
348	4559.266556
349	4553.628902
350	4545.187612
351	4540.18857
352	4537.695854
353	4532.907786
354	4528.931169
355	4528.292598
356	4526.341834
357	4517.620427
358	4514.295729
359	4511.189876
360	4508.775095
361	4504.683528
362	4501.833954
363	4492.925417
364	4489.895794
365	4486.404991
366	4479.973728
367	4474.32117
368	4469.033979
369	4466.801024
370	4461.689048
371	4460.586139
372	4457.274271
373	4450.171172
374	4446.01836
375	4442.304501
376	4435.842662
377	4427.609743
378	4423.52003
379	4420.183196
380	4415.322794
381	4414.670622
382	4412.078429
383	4407.698128
384	4396.193906
385	4392.74148
386	4390.450649
387	4384.211205
388	4381.05106
389	4377.893009
390	4375.944333
391	4369.166101
392	4365.181657
393	4362.640509
394	4358.680687
395	4354.557504
396	4351.485987
397	4345.076637
398	4340.764699
399	4337.432817
400	4333.409475
401	4331.091013
402	4327.663392
403	4326.152387
404	4325.414104
405	4321.76915
406	4315.547391
407	4310.895699
408	4305.835804
409	4304.205583
410	4298.937299
411	4294.883469
412	4289.755977
413	4285.63041
414	4284.560832
415	4278.280605
416	4274.952975
417	4267.254385
418	4265.273553
419	4260.354085
420	4258.062652
421	4254.062176
422	4251.334246
423	4247.123532
424	4245.065695
425	4239.730178
426	4233.566479
427	4227.705942
428	4221.300848
429	4216.402588
430	4213.001525
431	4207.16888
432	4201.180128
433	4199.427789
434	4197.025303
435	4193.218314
436	4184.79999
437	4182.889837
438	4179.235252
439	4177.394782
440	4171.865696
441	4169.284691
442	4165.25663
443	4164.791098
444	4163.534273
445	4161.90197
446	4160.494172
447	4159.301751
448	4155.856415
449	4153.940776
450	4152.622891
451	4149.408212
452	4147.149995
453	4141.500119
454	4137.590695
455	4135.280429
456	4131.805578
457	4127.902502
458	4123.800636
459	4117.714427
460	4115.548985
461	4113.562016
462	4110.100161
463	4109.37682
464	4106.070454
465	4099.227182
466	4096.184594
467	4095.29083
468	4091.394915
469	4089.106535
470	4088.311955
471	4083.479034
472	4081.891226
473	4076.606942
474	4070.855644
475	4062.591417
476	4059.342827
477	4056.092403
478	4053.112693
479	4051.073346
480	4049.252786
481	4045.12572
482	4038.341493
483	4036.298358
484	4032.644159
485	4026.317571
486	4021.314839
487	4017.172726
488	4013.671788
489	4011.038476
490	4007.00513
491	4004.258799
492	4001.295342
493	3999.401591
494	3997.291793
495	3996.754401
496	3992.329923
497	3991.920604
498	3989.680495
499	3985.070428
500	3982.15345
501	3978.322399
502	3971.248493
503	3968.242937
504	3967.401666
505	3964.389309
506	3961.832927
507	3960.754713
508	3959.339616
509	3956.401374
510	3952.109752
511	3945.5001
512	3943.917227
513	3937.745064
514	3934.077657
515	3932.197059
516	3929.231711
517	3926.160744
518	3923.524899
519	3920.772977
520	3914.660999
521	3913.611605
522	3911.618607
523	3906.655066
524	3905.22309
525	3903.533453
526	3899.895666
527	3896.499045
528	3892.960655
529	3890.419637
530	3886.740674
531	3885.092678
532	3881.146156
533	3877.531983
534	3876.086086
535	3874.930478
536	3866.586451
537	3862.389965
538	3857.863508
539	3855.038063
540	3854.659187
541	3847.146985
542	3841.641475
543	3837.783399
544	3835.113509
545	3832.570204
546	3830.571934
547	3827.243221
548	3824.608949
549	3822.54431
550	3819.179597
551	3816.216624
552	3813.389503
553	3810.728727
554	3809.663172
555	3807.559982
556	3803.907178
557	3799.934288
558	3796.286584
559	3791.248504
560	3790.046961
561	3787.228631
562	3782.667844
563	3779.161765
564	3775.771824
565	3772.083364
566	3771.224126
567	3769.127321
568	3766.364218
569	3762.956376
570	3762.642887
571	3760.076556
572	3751.507049
573	3749.773981
574	3747.438884
575	3744.262434
576	3740.996873
577	3736.136893
578	3732.875087
579	3729.520926
580	3726.992271
581	3724.747779
582	3721.100481
583	3719.119906
584	3714.645559
585	3710.340863
586	3709.924266
587	3708.49708
588	3705.909684
589	3703.73908
590	3700.340378
591	3696.256341
592	3694.188769
593	3690.645439
594	3688.549628
595	3683.273612
596	3682.079929
597	3678.418436
598	3678.100805
599	3674.983715
600	3671.82683
601	3669.158101
602	3665.931842
603	3661.565037
604	3656.447264
605	3650.471886
606	3648.760765
607	3646.320302
608	3645.690083
609	3642.086547
610	3637.8905
611	3636.733694
612	3633.787988
613	3631.373457
614	3630.984478
615	3626.798084
616	3622.569764
617	3619.754522
618	3617.56705
619	3615.695912
620	3610.731516
621	3603.835165
622	3601.054404
623	3596.830997
624	3594.418513
625	3593.162055
626	3591.734907
627	3591.079938
628	3588.955366
629	3587.600506
630	3586.423543
631	3582.525187
632	3580.41133
633	3576.618563
634	3574.157773
635	3571.517156
636	3568.50211
637	3564.093981
638	3558.619757
639	3557.652948
640	3552.906335
641	3549.362945
642	3546.956933
643	3544.133035
644	3542.63503
645	3539.979886
646	3538.501008
647	3533.405116
648	3531.159862
649	3527.210058
650	3526.697976
651	3526.232972
652	3523.740279
653	3520.824737
654	3517.999108
655	3515.033184
656	3512.352477
657	3507.738206
658	3506.086139
659	3500.574086
660	3498.136345
661	3494.641451
662	3491.810819
663	3489.392866
664	3486.270024
665	3481.435225
666	3477.442726
667	3469.351472
668	3464.611788
669	3462.214948
670	3459.802879
671	3456.234886
672	3453.768856
673	3452.185663
674	3450.142381
675	3446.916153
676	3445.450678
677	3443.768654
678	3440.333994
679	3436.588325
680	3432.169408
681	3428.787287
682	3428.27886
683	3427.078589
684	3424.910132
685	3419.796021
686	3416.215971
687	3416.109261
688	3414.803998
689	3410.369167
690	3409.062912
691	3404.893578
692	3404.578215
693	3401.581731
694	3398.980972
695	3397.05938
696	3391.705964
697	3390.277787
698	3387.20501
699	3386.881323
700	3383.717518
701	3382.234859
702	3378.827439
703	3378.185633
704	3375.490134
705	3373.160122
706	3371.056514
707	3369.719822
708	3364.223679
709	3362.345521
710	3357.401514
711	3355.561762
712	3352.26081
713	3349.253001
714	3347.982883
715	3345.901866
716	3344.490252
717	3344.282944
718	3341.806309
719	3338.867333
720	3335.782308
721	3334.2644
722	3333.259991
723	3328.695091
724	3326.549538
725	3324.55945
726	3323.453542
727	3320.170508
728	3318.693543
729	3316.908948
730	3314.68057
731	3310.778212
732	3309.032635
733	3306.298446
734	3304.087429
735	3301.68152
736	3299.927135
737	3299.552134
738	3296.756829
739	3295.553268
740	3290.74846
741	3288.767383
742	3284.521728
743	3279.967207
744	3275.078207
745	3273.207587
746	3269.626543
747	3267.923428
748	3266.604758
749	3266.40232
750	3264.503755
751	3263.367679
752	3259.926627
753	3257.969352
754	3254.397193
755	3252.891696
756	3251.593332
757	3249.776235
758	3249.504502
759	3249.193493
760	3246.278472
761	3243.686304
762	3241.06377
763	3240.195264
764	3238.544685
765	3236.353143
766	3233.178555
767	3230.971417
768	3228.51006
769	3227.054657
770	3225.597248
771	3222.038803
772	3218.682557
773	3216.838598
774	3215.48261
775	3212.937562
776	3211.159881
777	3210.894405
778	3208.631069
779	3206.735837
780	3205.356797
781	3200.964936
782	3199.749325
783	3198.87475
784	3195.375021
785	3193.646653
786	3189.298253
787	3183.768793
788	3182.861943
789	3180.175594
790	3178.645194
791	3177.139527
792	3176.622083
793	3174.431915
794	3172.333624
795	3171.285082
796	3167.63446
797	3165.362815
798	3162.590099
799	3160.187451
800	3157.27528
801	3154.950883
802	3152.719214
803	3149.012818
804	3146.886313
805	3145.130903
806	3144.584694
807	3142.845534
808	3141.796748
809	3138.276151
810	3134.231255
811	3132.557499
812	3127.623316
813	3126.287756
814	3124.85155
815	3124.118292
816	3122.210481
817	3118.613985
818	3115.528935
819	3111.024218
820	3110.985544
821	3108.239096
822	3108.093304
823	3105.980184
824	3104.175204
825	3102.403964
826	3100.627156
827	3098.45379
828	3095.52256
829	3095.003069
830	3094.963563
831	3093.458652
832	3091.015758
833	3089.005598
834	3086.391458
835	3082.702562
836	3080.495344
837	3074.488827
838	3072.53835
