iter	Passed	Remaining
0	71	71600
1	94	47267
2	123	41127
3	157	39168
4	186	37101
5	217	36001
6	250	35477
7	285	35350
8	319	35133
9	349	34589
10	379	34158
11	418	34458
12	454	34486
13	482	33956
14	512	33661
15	546	33601
16	577	33417
17	615	33557
18	645	33333
19	677	33178
20	707	32980
21	738	32810
22	773	32848
23	802	32633
24	832	32450
25	866	32444
26	900	32442
27	931	32330
28	960	32171
29	993	32110
30	1026	32078
31	1062	32136
32	1092	32020
33	1146	32574
34	1179	32506
35	1226	32843
36	1255	32665
37	1283	32503
38	1315	32426
39	1347	32335
40	1383	32369
41	1412	32224
42	1444	32142
43	1482	32203
44	1522	32318
45	1555	32260
46	1592	32298
47	1628	32298
48	1663	32282
49	1695	32207
50	1724	32080
51	1752	31946
52	1781	31833
53	1810	31716
54	1846	31721
55	1877	31648
56	1909	31595
57	1945	31591
58	1980	31591
59	2012	31527
60	2044	31476
61	2080	31483
62	2119	31521
63	2155	31523
64	2186	31457
65	2221	31435
66	2260	31471
67	2303	31575
68	2333	31492
69	2369	31485
70	2403	31444
71	2435	31386
72	2467	31337
73	2502	31312
74	2534	31258
75	2571	31262
76	2608	31265
77	2639	31195
78	2673	31168
79	2707	31137
80	2746	31165
81	2782	31148
82	2813	31084
83	2849	31078
84	2889	31100
85	2930	31144
86	2962	31089
87	2998	31077
88	3033	31053
89	3072	31069
90	3103	31005
91	3136	30953
92	3166	30882
93	3198	30832
94	3234	30816
95	3266	30756
96	3316	30878
97	3347	30806
98	3383	30795
99	3403	30628
100	3430	30536
101	3461	30473
102	3496	30446
103	3532	30436
104	3563	30371
105	3593	30309
106	3628	30284
107	3657	30209
108	3690	30163
109	3721	30110
110	3754	30073
111	3787	30030
112	3819	29977
113	3846	29893
114	3875	29827
115	3905	29763
116	3937	29719
117	3969	29666
118	4003	29636
119	4038	29613
120	4100	29788
121	4132	29738
122	4159	29659
123	4190	29603
124	4224	29572
125	4258	29537
126	4296	29536
127	4331	29505
128	4362	29458
129	4396	29419
130	4429	29381
131	4460	29330
132	4488	29262
133	4520	29215
134	4548	29144
135	4581	29104
136	4612	29056
137	4641	28992
138	4670	28929
139	4699	28869
140	4727	28801
141	4755	28730
142	4784	28671
143	4812	28608
144	4841	28545
145	4869	28483
146	4898	28422
147	4926	28358
148	4965	28358
149	5014	28417
150	5072	28520
151	5128	28611
152	5183	28697
153	5244	28812
154	5306	28926
155	5363	29015
156	5426	29135
157	5502	29325
158	5532	29260
159	5589	29343
160	5621	29294
161	5664	29299
162	5741	29480
163	5798	29558
164	5858	29646
165	5919	29739
166	5980	29828
167	6037	29901
168	6102	30004
169	6160	30077
170	6217	30142
171	6283	30248
172	6332	30273
173	6367	30228
174	6399	30168
175	6445	30175
176	6486	30159
177	6524	30131
178	6560	30088
179	6587	30008
180	6617	29941
181	6655	29912
182	6685	29849
183	6715	29781
184	6738	29684
185	6767	29618
186	6804	29584
187	6852	29598
188	6890	29569
189	6923	29515
190	6971	29526
191	7005	29482
192	7037	29426
193	7086	29443
194	7146	29502
195	7203	29549
196	7260	29595
197	7318	29643
198	7381	29712
199	7444	29778
200	7501	29821
201	7559	29863
202	7627	29944
203	7690	30008
204	7739	30013
205	7794	30043
206	7830	29999
207	7864	29946
208	7907	29926
209	7969	29979
210	8024	30007
211	8081	30038
212	8145	30096
213	8204	30136
214	8260	30161
215	8326	30222
216	8382	30245
217	8416	30189
218	8463	30181
219	8513	30184
220	8574	30222
221	8641	30285
222	8692	30288
223	8751	30316
224	8807	30337
225	8867	30369
226	8922	30383
227	8981	30409
228	9041	30439
229	9101	30469
230	9162	30500
231	9221	30526
232	9279	30547
233	9345	30591
234	9402	30608
235	9459	30623
236	9527	30671
237	9587	30696
238	9655	30745
239	9712	30755
240	9768	30764
241	9831	30793
242	9903	30850
243	9962	30867
244	9996	30804
245	10045	30791
246	10078	30725
247	10118	30683
248	10175	30690
249	10227	30681
250	10280	30678
251	10336	30681
252	10398	30702
253	10455	30706
254	10555	30840
255	10596	30795
256	10639	30760
257	10670	30689
258	10716	30660
259	10763	30634
260	10815	30624
261	10872	30624
262	10935	30643
263	10987	30630
264	11033	30602
265	11088	30597
266	11134	30566
267	11183	30545
268	11246	30561
269	11303	30560
270	11355	30546
271	11413	30548
272	11469	30544
273	11529	30548
274	11593	30565
275	11650	30562
276	11704	30551
277	11767	30560
278	11819	30545
279	11877	30541
280	11942	30556
281	12000	30553
282	12055	30544
283	12121	30559
284	12196	30598
285	12244	30567
286	12291	30536
287	12324	30470
288	12368	30429
289	12430	30433
290	12488	30427
291	12549	30427
292	12616	30443
293	12675	30439
294	12737	30440
295	12803	30450
296	12863	30447
297	12922	30442
298	12981	30435
299	13038	30422
300	13104	30430
301	13162	30421
302	13206	30380
303	13269	30379
304	13307	30323
305	13339	30253
306	13376	30195
307	13421	30154
308	13450	30079
309	13477	29999
310	13505	29920
311	13533	29842
312	13567	29780
313	13593	29697
314	13622	29622
315	13671	29592
316	13729	29580
317	13782	29558
318	13842	29551
319	13907	29553
320	13966	29543
321	14026	29533
322	14086	29525
323	14149	29521
324	14208	29510
325	14264	29490
326	14318	29468
327	14376	29454
328	14453	29478
329	14513	29466
330	14556	29419
331	14607	29390
332	14639	29323
333	14684	29282
334	14742	29265
335	14798	29244
336	14853	29222
337	14919	29220
338	14996	29240
339	15056	29227
340	15096	29174
341	15133	29116
342	15164	29047
343	15192	28971
344	15231	28917
345	15289	28900
346	15349	28886
347	15406	28865
348	15468	28854
349	15526	28835
350	15587	28820
351	15645	28802
352	15702	28781
353	15760	28760
354	15825	28753
355	15882	28730
356	15938	28707
357	16000	28693
358	16057	28670
359	16115	28649
360	16184	28647
361	16243	28627
362	16304	28610
363	16363	28591
364	16423	28572
365	16482	28551
366	16544	28536
367	16605	28517
368	16664	28497
369	16738	28501
370	16821	28520
371	16880	28497
372	16916	28436
373	16944	28361
374	16989	28316
375	17050	28296
376	17106	28268
377	17161	28239
378	17225	28224
379	17286	28203
380	17351	28189
381	17411	28168
382	17470	28144
383	17534	28127
384	17590	28098
385	17630	28044
386	17670	27989
387	17728	27963
388	17790	27944
389	17826	27882
390	17854	27808
391	17883	27737
392	17911	27664
393	17940	27593
394	17971	27525
395	18022	27488
396	18076	27455
397	18121	27410
398	18174	27376
399	18239	27359
400	18284	27313
401	18318	27249
402	18373	27218
403	18405	27152
404	18440	27092
405	18469	27022
406	18499	26954
407	18535	26894
408	18563	26824
409	18591	26753
410	18621	26686
411	18652	26620
412	18688	26562
413	18725	26505
414	18760	26445
415	18790	26378
416	18821	26314
417	18857	26256
418	18888	26190
419	18918	26125
420	18945	26055
421	18990	26011
422	19037	25968
423	19074	25913
424	19102	25843
425	19129	25775
426	19162	25714
427	19192	25649
428	19219	25581
429	19245	25511
430	19275	25447
431	19308	25387
432	19335	25319
433	19362	25252
434	19391	25186
435	19420	25122
